year,state_fips,county_fips,totperm,totval,units_1unit,value_1unit,units_2unit,value_2unit,units_3to4unit,value_3to4unit,units_5punit,value_5punit,source
1991,08,001,737,59234954,689,57588658,2,60000,0,0,46,1586296,census_bps_county
1991,08,003,22,1271610,22,1271610,0,0,0,0,0,0,census_bps_county
1991,08,005,1099,167999403,1097,167787403,2,212000,0,0,0,0,census_bps_county
1991,08,007,63,5711381,63,5711381,0,0,0,0,0,0,census_bps_county
1991,08,009,3,60000,3,60000,0,0,0,0,0,0,census_bps_county
1991,08,011,1,35000,1,35000,0,0,0,0,0,0,census_bps_county
1991,08,013,1550,181359744,1531,180619744,0,0,7,360500,12,379500,census_bps_county
1991,08,015,104,6293115,56,4816749,0,0,0,0,48,1476366,census_bps_county
1991,08,017,2,135500,2,135500,0,0,0,0,0,0,census_bps_county
1991,08,019,23,2756282,23,2756282,0,0,0,0,0,0,census_bps_county
1991,08,021,0,0,0,0,0,0,0,0,0,0,census_bps_county
1991,08,025,1,40000,1,40000,0,0,0,0,0,0,census_bps_county
1991,08,027,37,3250968,37,3250968,0,0,0,0,0,0,census_bps_county
1991,08,029,8,331572,8,331572,0,0,0,0,0,0,census_bps_county
1991,08,031,415,30542617,256,22850902,22,2689275,3,183570,134,4818870,census_bps_county
1991,08,033,6,527184,6,527184,0,0,0,0,0,0,census_bps_county
1991,08,035,1916,313753945,1916,313753945,0,0,0,0,0,0,census_bps_county
1991,08,037,491,64469749,304,45788324,110,13019873,49,3858302,28,1803250,census_bps_county
1991,08,039,102,8667448,102,8667448,0,0,0,0,0,0,census_bps_county
1991,08,041,1233,110015354,1183,108810258,0,0,0,0,50,1205096,census_bps_county
1991,08,043,83,5602169,83,5602169,0,0,0,0,0,0,census_bps_county
1991,08,045,136,10160194,128,9692868,0,0,8,467326,0,0,census_bps_county
1991,08,047,20,1087223,20,1087223,0,0,0,0,0,0,census_bps_county
1991,08,049,61,4113195,61,4113195,0,0,0,0,0,0,census_bps_county
1991,08,051,166,13633461,131,12127826,4,160000,4,150000,27,1195635,census_bps_county
