year,state_fips,totperm,totval,units_1unit,value_1unit,units_2unit,value_2unit,units_3to4unit,value_3to4unit,units_5punit,value_5punit,source
1980,08,30129,1153971000,19184,859245000,860,34110000,1568,43134000,8517,217482000,census_bps_state
1981,08,29391,1351336000,18547,965587000,846,41677000,1680,55031000,8318,289041000,census_bps_state
1982,08,31788,1302954000,19207,938441000,520,22128000,1074,36209000,10987,306176000,census_bps_state
1983,08,51290,2125597000,29968,1528298000,884,45051000,1722,59494000,18716,492754000,census_bps_state
1984,08,44329,1980019000,23359,1346445000,856,38296000,1716,60211000,18398,535067000,census_bps_state
1985,08,32824,1570156000,20071,1196964000,606,29746000,856,29349000,11291,314097000,census_bps_state
1986,08,30961,1626675000,20409,1314618000,514,27139000,584,22406000,9454,262512000,census_bps_state
1987,08,17988,1234883000,12903,1051628000,314,21848000,341,17128000,4430,144279000,census_bps_state
1988,08,12864,980240000,9742,852807000,230,14881000,309,21786000,2583,90766000,census_bps_state
1989,08,11131,1057198000,9026,949238000,208,14545000,177,19090000,1720,74325000,census_bps_state
1990,08,11897,1156509000,10095,1061872000,204,16256000,165,12650000,1433,65731000,census_bps_state
1991,08,14071,1511965000,12938,1453150000,172,18095000,153,8710000,808,32010000,census_bps_state
1992,08,23484,2439174000,20691,2290533000,302,29068000,232,19146000,2259,100427000,census_bps_state
1993,08,29913,3095858000,25855,2882752000,480,47696000,350,25621000,3228,139789000,census_bps_state
1994,08,37229,3906077000,29317,3421541000,734,71859000,633,44295000,6545,368382000,census_bps_state
1995,08,38622,3858795000,28404,3301640000,732,71442000,750,62382000,8736,423331000,census_bps_state
1996,08,41135,4274869000,30361,3621681000,862,81568000,1128,85941000,8784,485679000,census_bps_state
1997,08,43053,4658596000,31941,3973564000,858,101830000,856,78937000,9398,504265000,census_bps_state
1998,08,51156,5776511000,36107,4857929000,986,90287000,1069,83888000,12994,744407000,census_bps_state
1999,08,49313,6035974000,38410,5304487000,1110,117517000,997,85074000,8796,528896000,census_bps_state
2000,08,54596,6822089000,38588,5649895000,764,87450000,952,88840000,14292,995904000,census_bps_state
2001,08,55007,6593195000,36437,5277088000,736,69179000,686,61243000,17148,1185685000,census_bps_state
2002,08,47871,6357323000,34993,5416336000,784,75469000,805,76371000,11289,789147000,census_bps_state
2003,08,39569,6258256000,33837,5766996000,634,60998000,741,71492000,4357,358770000,census_bps_state
2004,08,46499,8050293000,40753,7522040000,434,47043000,744,79639000,4568,401571000,census_bps_state
2005,08,45891,8803391000,40140,8156753000,580,79348000,653,89087000,4518,478203000,census_bps_state
2006,08,38343,7769510000,30365,6796726000,654,91300000,563,85242000,6761,796242000,census_bps_state
2007,08,29454,6130810000,20516,5034639000,448,95467000,411,71792000,8079,928912000,census_bps_state
2008,08,18998,3999129000,11147,2904057000,290,82155000,181,34130000,7380,978787000,census_bps_state
2009,08,9355,2071134000,7261,1861805000,142,22078000,93,12318000,1859,174933000,census_bps_state
2010,08,11591,2608302000,8790,2299952000,276,39918000,136,16680000,2389,251752000,census_bps_state
2011,08,13502,2859669000,8723,2418015000,266,45059000,127,19403000,4386,377192000,census_bps_state
2012,08,23301,4437985000,12617,3479732000,304,48043000,97,11771000,10283,898439000,census_bps_state
2013,08,27517,5949553000,15772,4659828000,408,73720000,148,22399000,11189,1193606000,census_bps_state
2014,08,28686,6479529000,17095,5178025000,532,105302000,146,27715000,10913,1168487000,census_bps_state
2015,08,31871,7532619000,20025,5993814000,334,61689000,287,57871000,11225,1419245000,census_bps_state
2016,08,38974,8928897000,21577,6675789000,556,112393000,242,39617000,16599,2101098000,census_bps_state
2017,08,40673,9525107000,24338,7439961000,344,68895000,415,62792000,15576,1953459000,census_bps_state
2018,08,42627,10230540000,26134,7879399000,374,77608000,414,71288000,15705,2202245000,census_bps_state
2019,08,38633,9638045000,24756,7652182000,352,58415000,370,61816000,13155,1865632000,census_bps_state
2020,08,40469,10266541000,26636,8289036000,728,112583000,397,80111000,12708,1784811000,census_bps_state
2021,08,56524,13743890000,30246,9850482000,1260,228796000,736,145019000,24282,3519593000,census_bps_state
2022,08,48341,12722119000,23691,8442065000,996,192297000,536,130548000,23118,3957209000,census_bps_state
2023,08,39404,11043996000,19641,7459002000,596,129043000,410,86460000,18757,3369491000,census_bps_state
2024,08,32185,11145855000,20434,8685654000,402,89197000,390,65842000,10959,2305162000,census_bps_state
2025,08,33754,10719656000,17406,7653309000,462,85981000,240,47910000,15646,2932456000,census_bps_state
