year,state_fips,category,value,source
1993,08,nres,1456000000,census_c30_nrstate
1994,08,nres,2396000000,census_c30_nrstate
1995,08,nres,3193000000,census_c30_nrstate
1996,08,nres,3712000000,census_c30_nrstate
1997,08,nres,3710000000,census_c30_nrstate
1998,08,nres,4334000000,census_c30_nrstate
1999,08,nres,4494000000,census_c30_nrstate
2000,08,nres,5709000000,census_c30_nrstate
2001,08,nres,5027000000,census_c30_nrstate
2002,08,nres,3775000000,census_c30_nrstate
2003,08,nres,2773000000,census_c30_nrstate
2004,08,nres,3419000000,census_c30_nrstate
2005,08,nres,4652000000,census_c30_nrstate
2006,08,nres,5304000000,census_c30_nrstate
2007,08,nres,6040000000,census_c30_nrstate
2008,08,nres,6142000000,census_c30_nrstate
2009,08,nres,4673000000,census_c30_nrstate
2010,08,nres,2776000000,census_c30_nrstate
2011,08,nres,2564000000,census_c30_nrstate
2012,08,nres,4518000000,census_c30_nrstate
2013,08,nres,4130000000,census_c30_nrstate
2014,08,nres,4775000000,census_c30_nrstate
2015,08,nres,5821000000,census_c30_nrstate
2016,08,nres,7040000000,census_c30_nrstate
2017,08,nres,7424000000,census_c30_nrstate
2018,08,nres,6555000000,census_c30_nrstate
2019,08,nres,6158000000,census_c30_nrstate
2020,08,nres,6649000000,census_c30_nrstate
2021,08,nres,6287000000,census_c30_nrstate
2022,08,nres,7589000000,census_c30_nrstate
2023,08,nres,8338000000,census_c30_nrstate
2024,08,nres,8090000000,census_c30_nrstate
